Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
Fid1,Fiducial,USER,64,3.15,0,Top
Fid2,Fiducial,USER,3,86.22,0,Top
Fid3,Fiducial,USER,64,86.22,0,Top
Fid4,Fiducial,USER,3,3.17,0,Top
C1,50SVPF68M,CAPAE1030X1270N,27,33.33,0,Top
C2,08055C103KATDA,C0805,5,46.53,0,Top
C3,6TPE220MAZB,CAPPM3528X200N,23,42.86,270,Top
C4,6TPE220MAZB,CAPPM3528X200N,27,42.86,270,Top
C5,08055C104KATDA,C0805,20,13.33,90,Top
C6,TCJA106M016R0200,CAPPM3216X180N,59,39.83,0,Top
C7,08055C103KATDA,C0805,16,12.08,90,Top
C8,08055C104KATDA,C0805,58,36.51,270,Top
C9,08055C103KATDA,C0805,18,13.28,90,Top
C10,08055C104KATDA,C0805,56,11.73,90,Top
C11,08055C103KATDA,C0805,61,36.51,270,Top
C12,08055C104KATDA,C0805,13,12.08,90,Top
C13,TCJA106M016R0200,CAPPM3216X180N,61,25.41,180,Top
C14,08055C104KATDA,C0805,54,17.8,0,Top
C15,08055C103KATDA,C0805,31,65.75,180,Top
C16,EEEFK1C101AP,FKV(D),34,18.68,90,Top
C17,08055C103KATDA,C0805,54,15.58,0,Top
C18,TCJA106M016R0200,CAPPM3216X180N,41,43.21,0,Top
C19,08055C103KATDA,C0805,30,79.88,180,Top
C20,08051A220JATDA,SM0805,39,59.71,90,Top
C21,08051A220JATDA,SM0805,38,62.98,90,Top
C22,08055C222KATDA,C0805,42,29.38,180,Top
C23,08055C222KATDA,C0805,42,22.48,0,Top
C24,08055C103KATDA,C0805,39,34.88,180,Top
C25,08055C104KATDA,C0805,39,37.08,180,Top
C26,50SVPF68M,CAPAE1030X1270N,20,21.73,0,Top
C27,08055C104KATDA,C0805,17,41.78,270,Top
D1,SBRD10200TR,SMC_DPAK,13,51.74,90,Top
D3,1N4007F,SODFL4626X110N,37,6.71,90,Top
D4,SMBJ6.5CA-Q,DIONM5436X244N,14,32.88,90,Top
D5,SMBJ36CA,DIONM5336X245N,14,40.18,90,Top
F1,RKEF075,RKEF075,10,34.9,90,Top
FL1,BLM21BB050SH1D_250_100Mhz_0805,BLM21BB050SH1D,35,78.98,90,Top
R1,R 0.1W SMTF 10K,SM0805,3,36.58,270,Top
R2,R 0.1W SMTF 3.3K,SM0805,5,33.78,270,Top
R3,R 0.1W SMTF 10K,SM0805,46,42.31,180,Top
R4,R 0.1W SMTF 10K,SM0805,49,42.31,180,Top
R5,R 0.1W SMTF 10K,SM0805,53,11.48,0,Top
R6,R 0.1W SMTF 100,SM0805,61,28.51,270,Top
R7,R 0.1W SMTF 100,SM0805,61,30.81,270,Top
R8,R 0.1W SMTF 100,SM0805,61,33.11,270,Top
R9,R 0.1W SMTF 2.7K,SM0805,57,43.81,270,Top
R10,R 0.1W SMTF 47,SM0805,30,69.38,270,Top
R11,R 0.1W SMTF 47,SM0805,30,71.88,270,Top
R12,R 0.1W SMTF 47,SM0805,30,76.88,270,Top
R13,R 0.1W SMTF 47,SM0805,30,74.42,270,Top
R14,R 0.1W SMTF 1.0K,SM0805,8,60.38,270,Top
R15,R 0.1W SMTF 1.0K,SM0805,14,60.43,270,Top
R16,R 0.1W SMTF 1.0K,SM0805,42,35.16,180,Top
R17,R 0.1W SMTF 1.0K,SM0805,19,7.88,180,Top
R18,R 0.1W SMTF 1.0K,SM0805,32,8.18,180,Top
Y1,ABM3B-25.000MHZ-10-1-U-T,ABM3B,44,61.03,90,Top
Y3,ABM3B-8.000MHZ-10-1-U-T,ABM3B,42,26.37,180,Top
IC1,TPS5450DDAR,SOIC127P600X170-9N,5,42.38,0,Top
IC2,LM1117IMPX3.3_NOPB,SOT230P700X180-4N,26,11.68,0,Top
IC4,ENC28J60-I_SO,SOIC127P1030X265-28N,49,51.11,90,Top
L1,RLF12560T-100M7R5-PF,INDPM125128X600N,25,52.88,0,Top
PIC32,PIC32MX170F256B-50I_SO,SOIC127P1030X265-28N,51,28.68,0,Top
